id,type,from,to,days,dist,key,ID,homeport,No_trips
DOM794,DOM,Nelson,Picton,20,61.5845841099865,794,Y794,Nelson,10
DOM798,DOM,Wellington,Kapiti,350,49.637987469276,798,Y798,Wellington,50
DOM798,DOM,Wellington,Nelson,2,126.755320992848,798,Y798,Wellington,50
DOM799,DOM,Wellington,Picton,14,65.1801350105997,799,Y799,Wellington,1
DOM800,DOM,AKLWESTHAV,Great Barrier,6,87.9603970545836,800,Y800,AKL_WESTHAV,10
DOM800,DOM,AKLWESTHAV,AKLWESTPARK,4,9.29800516239908,800,Y800,AKL_WESTHAV,10
DOM801,DOM,AKLPINE,AKLHMB,2,7.80907805057678,801,Y801,AKL_PINE,30
DOM801,DOM,AKLPINE,Poor Knight Is,2,159.613360656306,801,Y801,AKL_PINE,30
DOM801,DOM,AKLPINE,Tutukaka,2,146.433099058922,801,Y801,AKL_PINE,30
DOM801,DOM,AKLPINE,Great Barrier,18,77.8466200293886,801,Y801,AKL_PINE,30
DOM801,DOM,AKLPINE,Opua,4,192.199928459924,801,Y801,AKL_PINE,30
DOM801,DOM,AKLPINE,Whangamata,1,85.04491710267,801,Y801,AKL_PINE,30
DOM801,DOM,AKLPINE,Tauranga,1,136.207939930094,801,Y801,AKL_PINE,30
DOM801,DOM,AKLPINE,Little Barrier,3,79.6646800658862,801,Y801,AKL_PINE,30
DOM802,DOM,AKLWESTHAV,Rangitoto Is,7,14.8131191853708,802,Y802,AKL_WESTHAV,6
DOM802,DOM,AKLWESTHAV,Motuihe Is,7,17.9902112272202,802,Y802,AKL_WESTHAV,6
DOM804,DOM,AKLHMB,Great Barrier,2,81.6589826657178,804,Y804,AKL_HMB,30
DOM805,DOM,AKLBWM,Kawau Is,2,44.733147664791,805,Y805,AKL_BWM,3
DOM805,DOM,AKLBWM,Gulf Harbour,1,25.0587559547556,805,Y805,AKL_BWM,3
DOM805,DOM,AKLBWM,AKLWESTPARK,1,10.5368401335505,805,Y805,AKL_BWM,3
DOM806,DOM,Waikawa Bay,AKLWESTHAV,30,495.321479066878,806,Y806,Waikawa Bay Marina,1
DOM809,DOM,AKLWESTPARK,Great Barrier,10,92.8987795937062,809,Y809,AKL_WESTPARK,10
DOM809,DOM,AKLWESTPARK,Gulf Harbour,1,27.76024585626,809,Y809,AKL_WESTPARK,10
DOM810,DOM,AKLHMB,Poor Knight Is,0.5,157.624085088542,810,Y810,AKL_HMB,20
DOM810,DOM,AKLHMB,Great Barrier,36,81.6589826657178,810,Y810,AKL_HMB,20
DOM810,DOM,AKLHMB,Whangamumu,2,188.773042831862,810,Y810,AKL_HMB,20
DOM810,DOM,AKLHMB,Goat Is (Motuorohi),0.5,47.5878695152452,810,Y810,AKL_HMB,20
DOM810,DOM,AKLHMB,Opua,2,188.146868695708,810,Y810,AKL_HMB,20
DOM810,DOM,AKLHMB,Little Barrier,1,79.7529024550204,810,Y810,AKL_HMB,20
DOM811,DOM,Gulf Harbour,Great Barrier,7,67.8647552121129,811,Y811,Gulf HM,4
DOM813,DOM,AKLWESTPARK,AKLWESTHAV,2,9.29800516239908,813,Y813,AKL_WESTPARK,4
DOM813,DOM,AKLWESTPARK,Poor Knight Is,1,149.458548768547,813,Y813,AKL_WESTPARK,4
DOM813,DOM,AKLWESTPARK,Tutukaka,4,132.393070060332,813,Y813,AKL_WESTPARK,4
DOM813,DOM,AKLWESTPARK,Opua,2,173.419205972118,813,Y813,AKL_WESTPARK,4
DOM813,DOM,AKLWESTPARK,Kerikeri,14,187.656305516228,813,Y813,AKL_WESTPARK,4
DOM815,DOM,Picton,Havelock,6,19.4171161607485,815,Y815,Picton,10
DOM816,DOM,Wellington,Nelson,2,126.755320992848,816,Y816,Wellington,4
DOM816,DOM,Wellington,Picton,84,65.1801350105997,816,Y816,Wellington,4
DOM818,DOM,AKLWESTHAV,Great Barrier,7,87.9603970545836,818,Y818,AKL_WESTHAV,1
