vessel_no,FreqUse,TripType,SourceWater,RiskyWater,MaxVol,EmptyDepart,EmptyArrival,FreqDischarge,vessel_type,name,home,location,sum_score,hazard_score,Length,Speed,storage,steam_fine,steam_rough,active_fine,active_rough,mean_rate,max_rate
101,4,1,3,1,2,1,2,3,Commercial,HM01,Marine Rescue Centre,Auckland,14,144,8.5,30,In water,0,0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333
102,3,1,0,1,1,1,2,4,Commercial,HM05,Marine Rescue Centre,Auckland,7,0,13,20,In water,0,0,0,0,0,0
103,4,1,4,1,2,1,2,3,Commercial,HM06,Marine Rescue Centre,Auckland,15,192,8.5,30,In water,0,0,0.3333333333333333,0.5,0.20833333333333331,0.5
104,4,2,0,1,1,1,1,0,Commercial,Waimea II,Port Nelson,Nelson/Picton,9,0,12.6,23,In water,0,0,0,0,0,0
105,4,1,0,1,4,1,1,0,Commercial,Toia,Port Nelson,Nelson/Picton,12,0,22.7,8,In water,0,0,0,0,0,0
106,4,1,0,1,4,1,1,0,Commercial,Parr,Port Nelson,Nelson/Picton,12,0,22.7,8,In water,0,0,0,0,0,0
107,4,1,0,1,4,4,1,1,Commercial,Kaiarataki O Oteamaiea,Nelson marina,Nelson/Picton,15,0,8.5,20,In water,1,1,1,1,1,1
108,3,2,4,1,1,4,1,3,Commercial,HawkEye,Havelock marina,Nelson/Picton,16,288,12.4,15,In water,0,0,0.08333333333333333,0.16666666666666666,0.0625,0.16666666666666666
109,2,3,0,1,2,2,1,0,Launch,Loretta,Nelson marina,Nelson/Picton,10,0,12.2,22,In water,0,0,0,0,0,0
110,1,2,4,1,2,2,2,3,Launch,Kotare,Nelson marina,Nelson/Picton,13,192,11.5,20,In water,0,0,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.08333333333333333
